Date,Rate
2001-02-01,7.799
2001-02-02,7.7993
2001-02-05,7.7994
2001-02-06,7.8
2001-02-07,7.8
2001-02-08,7.8
2001-02-09,7.7998
2001-02-12,7.8
2001-02-13,7.8
2001-02-14,7.7999
2001-02-15,7.8
2001-02-16,7.8
2001-02-19,
2001-02-20,7.8
2001-02-21,7.8
2001-02-22,7.8
2001-02-23,7.7999
2001-02-26,7.7999
2001-02-27,7.8
2001-02-28,7.8
2001-03-01,7.8
2001-03-02,7.8
2001-03-05,7.8002
2001-03-06,7.8002
2001-03-07,7.8001
2001-03-08,7.8
2001-03-09,7.7997
2001-03-12,7.7999
2001-03-13,7.7998
2001-03-14,7.7999
2001-03-15,7.8001
2001-03-16,7.7997
2001-03-19,7.7995
2001-03-20,7.7996
2001-03-21,7.7995
2001-03-22,7.7994
2001-03-23,7.7998
2001-03-26,7.8
2001-03-27,7.8
2001-03-28,7.8003
2001-03-29,7.7998
2001-03-30,7.8003
2001-04-02,7.7983
2001-04-03,7.799
2001-04-04,7.7986
2001-04-05,7.799
2001-04-06,7.7987
2001-04-09,7.799
2001-04-10,7.8
2001-04-11,7.799
2001-04-12,7.7994
2001-04-13,7.7994
2001-04-16,7.7995
2001-04-17,7.8
2001-04-18,7.8
2001-04-19,7.7995
2001-04-20,7.7998
2001-04-23,7.7991
2001-04-24,7.7991
2001-04-25,7.8
2001-04-26,7.7999
2001-04-27,7.7993
2001-04-30,7.799
2001-05-01,7.7993
2001-05-02,7.7998
2001-05-03,7.7991
2001-05-04,7.7995
2001-05-07,7.7995
2001-05-08,7.7997
2001-05-09,7.8
2001-05-10,7.8
2001-05-11,7.7999
2001-05-14,7.8
2001-05-15,7.8
2001-05-16,7.8
2001-05-17,7.8
2001-05-18,7.8
2001-05-21,7.7998
2001-05-22,7.8003
2001-05-23,7.7999
2001-05-24,7.8
2001-05-25,7.8002
2001-05-28,
2001-05-29,7.7999
2001-05-30,7.8
2001-05-31,7.7998
2001-06-01,7.8
2001-06-04,7.8
2001-06-05,7.7998
2001-06-06,7.7998
2001-06-07,7.8
2001-06-08,7.7994
2001-06-11,7.799
2001-06-12,7.7991
2001-06-13,7.799
2001-06-14,7.7992
2001-06-15,7.7995
2001-06-18,7.7998
2001-06-19,7.7999
2001-06-20,7.7998
2001-06-21,7.7997
2001-06-22,7.7998
2001-06-25,7.7998
2001-06-26,7.8
2001-06-27,7.7998
2001-06-28,7.7998
2001-06-29,7.8
2001-07-02,7.8
2001-07-03,7.8
2001-07-04,
2001-07-05,7.8003
2001-07-06,7.8
2001-07-09,7.8
2001-07-10,7.7999
2001-07-11,7.8
2001-07-12,7.8
2001-07-13,7.7999
2001-07-16,7.8
2001-07-17,7.8
2001-07-18,7.8
2001-07-19,7.7999
2001-07-20,7.7998
2001-07-23,7.7998
2001-07-24,7.7998
2001-07-25,7.7999
2001-07-26,7.7998
2001-07-27,7.7996
2001-07-30,7.7998
2001-07-31,7.7997
2001-08-01,7.7998
2001-08-02,7.7995
2001-08-03,7.7992
2001-08-06,7.7992
2001-08-07,7.7995
2001-08-08,7.7995
2001-08-09,7.7997
2001-08-10,7.7992
2001-08-13,7.7996
2001-08-14,7.7995
2001-08-15,7.7997
2001-08-16,7.7998
2001-08-17,7.7997
2001-08-20,7.7997
2001-08-21,7.7999
2001-08-22,7.7997
2001-08-23,7.7998
2001-08-24,7.7999
2001-08-27,7.7999
2001-08-28,7.8
2001-08-29,7.7999
2001-08-30,7.7999
2001-08-31,7.7998
2001-09-03,
2001-09-04,7.7998
2001-09-05,7.7999
2001-09-06,7.8
2001-09-07,7.8001
2001-09-10,7.7998
2001-09-11,
2001-09-12,7.7984
2001-09-13,7.7993
2001-09-14,7.7996
2001-09-17,7.7993
2001-09-18,7.7994
2001-09-19,7.7987
2001-09-20,7.8
2001-09-21,7.8003
2001-09-24,7.8001
2001-09-25,7.8001
2001-09-26,7.7999
2001-09-27,7.7998
2001-09-28,7.7996
2001-10-01,7.7992
2001-10-02,7.7993
2001-10-03,7.7995
2001-10-04,7.7998
2001-10-05,7.7999
2001-10-08,
2001-10-09,7.7999
2001-10-10,7.8
2001-10-11,7.7999
2001-10-12,7.8
2001-10-15,7.8
2001-10-16,7.8001
2001-10-17,7.8001
2001-10-18,7.8002
2001-10-19,7.799
2001-10-22,7.799
2001-10-23,7.8
2001-10-24,7.8
2001-10-25,7.8003
2001-10-26,7.8003
2001-10-29,7.8
2001-10-30,7.8001
2001-10-31,7.8002
2001-11-01,7.8003
2001-11-02,7.8001
2001-11-05,7.8001
2001-11-06,7.8001
2001-11-07,7.8
2001-11-08,7.8
2001-11-09,7.8
2001-11-12,
2001-11-13,7.8001
2001-11-14,7.8004
2001-11-15,7.8
2001-11-16,7.7997
2001-11-19,7.7993
2001-11-20,7.7991
2001-11-21,7.799
2001-11-22,
2001-11-23,7.8
2001-11-26,7.7992
2001-11-27,7.7992
2001-11-28,7.7986
2001-11-29,7.7985
2001-11-30,7.7988
2001-12-03,7.799
2001-12-04,7.7995
2001-12-05,7.7998
2001-12-06,7.7997
2001-12-07,7.7992
2001-12-10,7.7994
2001-12-11,7.7996
2001-12-12,7.7998
2001-12-13,7.7999
2001-12-14,7.7999
2001-12-17,7.7997
2001-12-18,7.7995
2001-12-19,7.7988
2001-12-20,7.7985
2001-12-21,7.797
2001-12-24,7.798
2001-12-25,
2001-12-26,7.797
2001-12-27,7.7975
2001-12-28,7.7973
2001-12-31,7.798
2002-01-01,
2002-01-02,7.798
2002-01-03,7.7985
2002-01-04,7.7985
2002-01-07,7.799
2002-01-08,7.7991
2002-01-09,7.7987
2002-01-10,7.7985
2002-01-11,7.7987
2002-01-14,7.7988
2002-01-15,7.799
2002-01-16,7.799
2002-01-17,7.7985
2002-01-18,7.7991
2002-01-21,
2002-01-22,7.7995
2002-01-23,7.7995
2002-01-24,7.7995
2002-01-25,7.8
2002-01-28,7.797
2002-01-29,7.7995
2002-01-30,7.7998
2002-01-31,7.7995
2002-02-01,7.7998
2002-02-04,7.7999
2002-02-05,7.7998
2002-02-06,7.7998
2002-02-07,7.7996
2002-02-08,7.7993
2002-02-11,7.7997
2002-02-12,7.7998
2002-02-13,7.7997
2002-02-14,7.7998
2002-02-15,7.7995
2002-02-18,
2002-02-19,7.7994
2002-02-20,7.7995
2002-02-21,7.7994
2002-02-22,7.7994
2002-02-25,7.7995
2002-02-26,7.7994
2002-02-27,7.7991
2002-02-28,7.7995
2002-03-01,7.7998
2002-03-04,7.7995
2002-03-05,7.7997
2002-03-06,7.7998
2002-03-07,7.7997
2002-03-08,7.8
2002-03-11,7.7995
2002-03-12,7.7999
2002-03-13,7.7999
2002-03-14,7.7998
2002-03-15,7.7996
2002-03-18,7.7994
2002-03-19,7.7994
2002-03-20,7.7997
2002-03-21,7.7998
2002-03-22,7.7997
2002-03-25,7.7998
2002-03-26,7.7994
2002-03-27,7.7993
2002-03-28,7.7999
2002-03-29,7.8
2002-04-01,7.7996
2002-04-02,7.7996
2002-04-03,7.7997
2002-04-04,7.7996
2002-04-05,7.7997
2002-04-08,7.7998
2002-04-09,7.7998
2002-04-10,7.7997
2002-04-11,7.7999
2002-04-12,7.7997
2002-04-15,7.8095
2002-04-16,7.7995
2002-04-17,7.8002
2002-04-18,7.7995
2002-04-19,7.7995
2002-04-22,7.7995
2002-04-23,7.7995
2002-04-24,7.7993
2002-04-25,7.7993
2002-04-26,7.7994
2002-04-29,7.7995
2002-04-30,7.7992
2002-05-01,7.7991
2002-05-02,7.7992
2002-05-03,7.7992
2002-05-06,7.7993
2002-05-07,7.7994
2002-05-08,7.799
2002-05-09,7.7994
2002-05-10,7.7994
2002-05-13,7.7992
2002-05-14,7.7993
2002-05-15,7.7992
2002-05-16,7.799
2002-05-17,7.799
2002-05-20,7.799
2002-05-21,7.7994
2002-05-22,7.7997
2002-05-23,7.8001
2002-05-24,7.7999
2002-05-27,
2002-05-28,7.8
2002-05-29,7.7999
2002-05-30,7.7999
2002-05-31,7.8
2002-06-03,7.8
2002-06-04,7.8
2002-06-05,7.7998
2002-06-06,7.8001
2002-06-07,7.7998
2002-06-10,7.8
2002-06-11,7.7999
2002-06-12,7.7993
2002-06-13,7.8
2002-06-14,7.8
2002-06-17,7.8
2002-06-18,7.8005
2002-06-19,7.8
2002-06-20,7.8
2002-06-21,7.8
2002-06-24,7.8
2002-06-25,7.7999
2002-06-26,7.8
2002-06-27,7.8
2002-06-28,7.8
2002-07-01,7.8005
2002-07-02,7.8
2002-07-03,7.8
2002-07-04,
2002-07-05,7.8
2002-07-08,7.8
2002-07-09,7.8
2002-07-10,7.8
2002-07-11,7.8
2002-07-12,7.8
2002-07-15,7.8
2002-07-16,7.8
2002-07-17,7.8
2002-07-18,7.8
2002-07-19,7.8
2002-07-22,7.8
2002-07-23,7.8
2002-07-24,7.8
2002-07-25,7.8
2002-07-26,7.8
2002-07-29,7.7999
2002-07-30,7.8
2002-07-31,7.8
2002-08-01,7.8
2002-08-02,7.8
2002-08-05,7.8
2002-08-06,7.8
2002-08-07,7.8
2002-08-08,7.8
2002-08-09,7.8
2002-08-12,7.8
2002-08-13,7.8
2002-08-14,7.8
2002-08-15,7.8
2002-08-16,7.8
2002-08-19,7.8
2002-08-20,7.8
2002-08-21,7.8
2002-08-22,7.8
2002-08-23,7.8
2002-08-26,7.8
2002-08-27,7.8005
2002-08-28,7.8001
2002-08-29,7.8
2002-08-30,7.8
2002-09-02,
2002-09-03,7.8
2002-09-04,7.8
2002-09-05,7.8
2002-09-06,7.8
2002-09-09,7.8
2002-09-10,7.8
2002-09-11,7.8
2002-09-12,7.7997
2002-09-13,7.8
2002-09-16,7.7996
2002-09-17,7.7996
2002-09-18,7.7999
2002-09-19,7.7998
2002-09-20,7.8
2002-09-23,7.7999
2002-09-24,7.7997
2002-09-25,7.8
2002-09-26,7.7998
2002-09-27,7.7997
2002-09-30,7.7998
2002-10-01,7.7995
2002-10-02,7.7997
2002-10-03,7.7999
2002-10-04,7.7998
2002-10-07,7.7998
2002-10-08,7.8
2002-10-09,7.7998
2002-10-10,7.7998
2002-10-11,7.8
2002-10-14,
2002-10-15,7.8
2002-10-16,7.7994
2002-10-17,7.7993
2002-10-18,7.7991
2002-10-21,7.799
2002-10-22,7.7991
2002-10-23,7.7992
2002-10-24,7.7991
2002-10-25,7.7992
2002-10-28,7.799
2002-10-29,7.7997
2002-10-30,7.7995
2002-10-31,7.7995
2002-11-01,7.7998
2002-11-04,7.7993
2002-11-05,7.7992
2002-11-06,7.7993
2002-11-07,7.7993
2002-11-08,7.7995
2002-11-11,
2002-11-12,7.7997
2002-11-13,7.7994
2002-11-14,7.7997
2002-11-15,7.7997
2002-11-18,7.8
2002-11-19,7.7995
2002-11-20,7.7996
2002-11-21,7.7995
2002-11-22,7.799
2002-11-25,7.799
2002-11-26,7.7987
2002-11-27,7.799
2002-11-28,
2002-11-29,7.7988
2002-12-02,7.7988
2002-12-03,7.7987
2002-12-04,7.799
2002-12-05,7.799
2002-12-06,7.7985
2002-12-09,7.7989
2002-12-10,7.799
2002-12-11,7.799
2002-12-12,7.799
2002-12-13,7.7989
2002-12-16,7.799
2002-12-17,7.7986
2002-12-18,7.798
2002-12-19,7.798
2002-12-20,7.7985
2002-12-23,7.7986
2002-12-24,7.799
2002-12-25,
2002-12-26,7.7989
2002-12-27,7.799
2002-12-30,7.7992
2002-12-31,7.7988
2003-01-01,
2003-01-02,7.7988
2003-01-03,7.799
2003-01-06,7.7993
2003-01-07,7.7999
2003-01-08,7.7997
2003-01-09,7.7993
2003-01-10,7.7993
2003-01-13,7.799
2003-01-14,7.7991
2003-01-15,7.799
2003-01-16,7.799
2003-01-17,7.7992
2003-01-20,
2003-01-21,7.7995
2003-01-22,7.7994
2003-01-23,7.7994
2003-01-24,7.7996
2003-01-27,7.8
2003-01-28,7.7996
2003-01-29,7.8
2003-01-30,7.8
2003-01-31,7.8001
2003-02-03,7.8
2003-02-04,7.8
2003-02-05,7.7997
2003-02-06,7.7998
2003-02-07,7.7996
2003-02-10,7.7998
2003-02-11,7.7995
2003-02-12,7.7997
2003-02-13,7.8
2003-02-14,7.7995
2003-02-17,
2003-02-18,7.7998
2003-02-19,7.7997
2003-02-20,7.7995
2003-02-21,7.7991
2003-02-24,7.7992
2003-02-25,7.7989
2003-02-26,7.799
2003-02-27,7.7991
2003-02-28,7.7991
2003-03-03,7.7987
2003-03-04,7.7992
2003-03-05,7.7992
2003-03-06,7.799
2003-03-07,7.7988
2003-03-10,7.7991
2003-03-11,7.7991
2003-03-12,7.7991
2003-03-13,7.799
2003-03-14,7.7992
2003-03-17,7.7993
2003-03-18,7.7989
2003-03-19,7.7992
2003-03-20,7.799
2003-03-21,7.799
2003-03-24,7.799
2003-03-25,7.7992
2003-03-26,7.7992
2003-03-27,7.7993
2003-03-28,7.7993
2003-03-31,7.7995
2003-04-01,7.7995
2003-04-02,7.7993
2003-04-03,7.7995
2003-04-04,7.7996
2003-04-07,7.7997
2003-04-08,7.7996
2003-04-09,7.7997
2003-04-10,7.7997
2003-04-11,7.7996
2003-04-14,7.7997
2003-04-15,7.7996
2003-04-16,7.7997
2003-04-17,7.7997
2003-04-18,7.7997
2003-04-21,7.7997
2003-04-22,7.7997
2003-04-23,7.7997
2003-04-24,7.7998
2003-04-25,7.7998
2003-04-28,7.7993
2003-04-29,7.7994
2003-04-30,7.7991
2003-05-01,7.7993
2003-05-02,7.7993
2003-05-05,7.7993
2003-05-06,7.7991
2003-05-07,7.7992
2003-05-08,7.799
2003-05-09,7.7991
2003-05-12,7.7993
2003-05-13,7.7993
2003-05-14,7.7988
2003-05-15,7.7995
2003-05-16,7.7994
2003-05-19,7.799
2003-05-20,7.7991
2003-05-21,7.7992
2003-05-22,7.7991
2003-05-23,7.799
2003-05-26,
2003-05-27,7.7988
2003-05-28,7.7987
2003-05-29,7.7985
2003-05-30,7.7987
2003-06-02,7.799
2003-06-03,7.7987
2003-06-04,7.7988
2003-06-05,7.799
2003-06-06,7.7987
2003-06-09,7.7983
2003-06-10,7.7988
2003-06-11,7.7988
2003-06-12,7.7993
2003-06-13,7.799
2003-06-16,7.7991
2003-06-17,7.799
2003-06-18,7.7989
2003-06-19,7.7993
2003-06-20,7.7992
2003-06-23,7.7988
2003-06-24,7.7988
2003-06-25,7.7984
2003-06-26,7.7986
2003-06-27,7.798
2003-06-30,7.7984
2003-07-01,7.7984
2003-07-02,7.7984
2003-07-03,7.7983
2003-07-04,
2003-07-07,7.7983
2003-07-08,7.7989
2003-07-09,7.7988
2003-07-10,7.7992
2003-07-11,7.7993
2003-07-14,7.7998
2003-07-15,7.7995
2003-07-16,7.7998
2003-07-17,7.7997
2003-07-18,7.7995
2003-07-21,7.7995
2003-07-22,7.7993
2003-07-23,7.7994
2003-07-24,7.7994
2003-07-25,7.7997
2003-07-28,7.7993
2003-07-29,7.7995
2003-07-30,7.7992
2003-07-31,7.799
2003-08-01,7.7993
2003-08-04,7.7992
2003-08-05,7.7995
2003-08-06,7.7996
2003-08-07,7.7998
2003-08-08,7.7998
2003-08-11,7.7995
2003-08-12,7.7995
2003-08-13,7.7995
2003-08-14,7.7994
2003-08-15,7.7993
2003-08-18,7.7995
2003-08-19,7.7989
2003-08-20,7.7987
2003-08-21,7.7988
2003-08-22,7.7987
2003-08-25,7.799
2003-08-26,7.7994
2003-08-27,7.7993
2003-08-28,7.7995
2003-08-29,7.7995
2003-09-01,
2003-09-02,7.7995
2003-09-03,7.7995
2003-09-04,7.7994
2003-09-05,7.7995
2003-09-08,7.7999
2003-09-09,7.7995
2003-09-10,7.7994
2003-09-11,7.7995
2003-09-12,7.7993
2003-09-15,7.7993
2003-09-16,7.7996
2003-09-17,7.7994
2003-09-18,7.7994
2003-09-19,7.7988
2003-09-22,7.7795
2003-09-23,7.7444
2003-09-24,7.76
2003-09-25,7.76
2003-09-26,7.751
2003-09-29,7.753
2003-09-30,7.7445
2003-10-01,7.7395
2003-10-02,7.731
2003-10-03,7.711
2003-10-06,7.7085
2003-10-07,7.7125
2003-10-08,7.7345
2003-10-09,7.7285
2003-10-10,7.7325
2003-10-13,
2003-10-14,7.7495
2003-10-15,7.7424
2003-10-16,7.7415
2003-10-17,7.7445
2003-10-20,7.7495
2003-10-21,7.753
2003-10-22,7.752
2003-10-23,7.753
2003-10-24,7.7536
2003-10-27,7.7541
2003-10-28,7.7578
2003-10-29,7.7595
2003-10-30,7.7625
2003-10-31,7.7684
2003-11-03,7.7673
2003-11-04,7.7677
2003-11-05,7.7685
2003-11-06,7.769
2003-11-07,7.7692
2003-11-10,7.7475
2003-11-11,
2003-11-12,7.7623
2003-11-13,7.7618
2003-11-14,7.755
2003-11-17,7.764
2003-11-18,7.758
2003-11-19,7.76
2003-11-20,7.7615
2003-11-21,7.764
2003-11-24,7.7675
2003-11-25,7.769
2003-11-26,7.7675
2003-11-27,
2003-11-28,7.766
2003-12-01,7.767
2003-12-02,7.7628
2003-12-03,7.7641
2003-12-04,7.767
2003-12-05,7.7635
2003-12-08,7.7647
2003-12-09,7.764
2003-12-10,7.7642
2003-12-11,7.766
2003-12-12,7.7635
2003-12-15,7.7635
2003-12-16,7.763
2003-12-17,7.7637
2003-12-18,7.7654
2003-12-19,7.7651
2003-12-22,7.7641
2003-12-23,7.7637
2003-12-24,7.7665
2003-12-25,
2003-12-26,7.7655
2003-12-29,7.7635
2003-12-30,7.7645
2003-12-31,7.764
2004-01-01,
2004-01-02,7.7645
2004-01-05,7.7635
2004-01-06,7.7633
2004-01-07,7.7638
2004-01-08,7.7635
2004-01-09,7.7633
2004-01-12,7.7632
2004-01-13,7.7644
2004-01-14,7.7642
2004-01-15,7.7635
2004-01-16,7.7665
2004-01-19,
2004-01-20,7.77
2004-01-21,7.7675
2004-01-22,7.7663
2004-01-23,7.7665
2004-01-26,7.767
2004-01-27,7.7644
2004-01-28,7.768
2004-01-29,7.775
2004-01-30,7.7775
2004-02-02,7.7767
2004-02-03,7.7743
2004-02-04,7.7776
2004-02-05,7.7738
2004-02-06,7.7735
2004-02-09,7.7686
2004-02-10,7.7692
2004-02-11,7.7705
2004-02-12,7.7715
2004-02-13,7.771
2004-02-16,
2004-02-17,7.7703
2004-02-18,7.7715
2004-02-19,7.7745
2004-02-20,7.7751
2004-02-23,7.7755
2004-02-24,7.778
2004-02-25,7.781
2004-02-26,7.7843
2004-02-27,7.7845
2004-03-01,7.7842
2004-03-02,7.7858
2004-03-03,7.7933
2004-03-04,7.793
2004-03-05,7.786
2004-03-08,7.7905
2004-03-09,7.7908
2004-03-10,7.7942
2004-03-11,7.796
2004-03-12,7.794
2004-03-15,7.7943
2004-03-16,7.792
2004-03-17,7.7912
2004-03-18,7.7925
2004-03-19,7.7932
2004-03-22,7.7936
2004-03-23,7.7955
2004-03-24,7.7965
2004-03-25,7.798
2004-03-26,7.7975
2004-03-29,7.7975
2004-03-30,7.7963
2004-03-31,7.793
2004-04-01,7.7883
2004-04-02,7.787
2004-04-05,7.7895
2004-04-06,7.7957
2004-04-07,7.7952
2004-04-08,7.7959
2004-04-09,7.797
2004-04-12,7.7963
2004-04-13,7.7966
2004-04-14,7.798
2004-04-15,7.7985
2004-04-16,7.799
2004-04-19,7.7994
2004-04-20,7.7989
2004-04-21,7.8
2004-04-22,7.7995
2004-04-23,7.8
2004-04-26,7.7995
2004-04-27,7.7995
2004-04-28,7.7997
2004-04-29,7.8
2004-04-30,7.7998
2004-05-03,7.8
2004-05-04,7.8
2004-05-05,7.7997
2004-05-06,7.7995
2004-05-07,7.7997
2004-05-10,7.8
2004-05-11,7.8001
2004-05-12,7.799
2004-05-13,7.8
2004-05-14,7.801
2004-05-17,7.8
2004-05-18,7.8
2004-05-19,7.7895
2004-05-20,7.7935
2004-05-21,7.7901
2004-05-24,7.793
2004-05-25,7.7939
2004-05-26,7.7944
2004-05-27,7.7938
2004-05-28,7.7941
2004-05-31,
2004-06-01,7.797
2004-06-02,7.7967
2004-06-03,7.797
2004-06-04,7.796
2004-06-07,7.7953
2004-06-08,7.7947
2004-06-09,7.7965
2004-06-10,7.7978
2004-06-11,7.7954
2004-06-14,7.7975
2004-06-15,7.7998
2004-06-16,7.7987
2004-06-17,7.7983
2004-06-18,7.7997
2004-06-21,7.7995
2004-06-22,7.7994
2004-06-23,7.8
2004-06-24,7.7995
2004-06-25,7.7976
2004-06-28,7.799
2004-06-29,7.7998
2004-06-30,7.8
2004-07-01,7.8
2004-07-02,7.7999
2004-07-05,
2004-07-06,7.799
2004-07-07,7.7994
2004-07-08,7.8
2004-07-09,7.8
2004-07-12,7.7997
2004-07-13,7.7998
2004-07-14,7.7998
2004-07-15,7.8003
2004-07-16,7.8
2004-07-19,7.8
2004-07-20,7.8002
2004-07-21,7.8
2004-07-22,7.8
2004-07-23,7.8005
2004-07-26,7.8
2004-07-27,7.8008
2004-07-28,7.8
2004-07-29,7.7998
2004-07-30,7.7999
2004-08-02,7.8
2004-08-03,7.799
2004-08-04,7.8003
2004-08-05,7.7999
2004-08-06,7.797
2004-08-09,7.7985
2004-08-10,7.7996
2004-08-11,7.8
2004-08-12,7.7989
2004-08-13,7.7991
2004-08-16,7.8
2004-08-17,7.7998
2004-08-18,7.8003
2004-08-19,7.8
2004-08-20,7.8
2004-08-23,7.7997
2004-08-24,7.7998
2004-08-25,7.8
2004-08-26,7.8
2004-08-27,7.8005
2004-08-30,7.8004
2004-08-31,7.8
2004-09-01,7.8
2004-09-02,7.797
2004-09-03,7.8002
2004-09-06,
2004-09-07,7.7997
2004-09-08,7.7998
2004-09-09,7.7995
2004-09-10,7.8
2004-09-13,7.8
2004-09-14,7.7986
2004-09-15,7.7998
2004-09-16,7.7996
2004-09-17,7.7998
2004-09-20,7.7999
2004-09-21,7.7997
2004-09-22,7.7999
2004-09-23,7.7998
2004-09-24,7.8001
2004-09-27,7.7998
2004-09-28,7.799
2004-09-29,7.7991
2004-09-30,7.7984
2004-10-01,7.7971
2004-10-04,7.7984
2004-10-05,7.798
2004-10-06,7.799
2004-10-07,7.7975
2004-10-08,7.785
2004-10-11,
2004-10-12,7.7924
2004-10-13,7.7946
2004-10-14,7.792
2004-10-15,7.7885
2004-10-18,7.7915
2004-10-19,7.7905
2004-10-20,7.7856
2004-10-21,7.7864
2004-10-22,7.7868
2004-10-25,7.7752
2004-10-26,7.7803
2004-10-27,7.777
2004-10-28,7.7792
2004-10-29,7.7834
2004-11-01,7.7798
2004-11-02,7.7815
2004-11-03,7.7801
2004-11-04,7.7753
2004-11-05,7.7718
2004-11-08,7.7751
2004-11-09,7.7742
2004-11-10,7.7807
2004-11-11,
2004-11-12,7.772
2004-11-15,7.775
2004-11-16,7.7752
2004-11-17,7.774
2004-11-18,7.7767
2004-11-19,7.7719
2004-11-22,7.773
2004-11-23,7.7753
2004-11-24,7.7728
2004-11-25,
2004-11-26,7.7734
2004-11-29,7.7759
2004-11-30,7.776
2004-12-01,7.7741
2004-12-02,7.7726
2004-12-03,7.7723
2004-12-06,7.7702
2004-12-07,7.7702
2004-12-08,7.7698
2004-12-09,7.776
2004-12-10,7.7747
2004-12-13,7.7749
2004-12-14,7.776
2004-12-15,7.7743
2004-12-16,7.7751
2004-12-17,7.7796
2004-12-20,7.7814
2004-12-21,7.7796
2004-12-22,7.7815
2004-12-23,7.7814
2004-12-24,7.7819
2004-12-27,7.7821
2004-12-28,7.7731
2004-12-29,7.7793
2004-12-30,7.7757
2004-12-31,7.7723
2005-01-03,7.7775
2005-01-04,7.7851
2005-01-05,7.7881
2005-01-06,7.7935
2005-01-07,7.792
2005-01-10,7.7946
2005-01-11,7.7955
2005-01-12,7.7929
2005-01-13,7.7915
2005-01-14,7.7962
2005-01-17,
2005-01-18,7.799
2005-01-19,7.7982
2005-01-20,7.799
2005-01-21,7.7984
2005-01-24,7.7982
2005-01-25,7.7994
2005-01-26,7.7988
2005-01-27,7.7988
2005-01-28,7.7992
2005-01-31,7.7993
2005-02-01,7.7999
2005-02-02,7.7994
2005-02-03,7.7995
2005-02-04,7.7984
2005-02-07,7.7993
2005-02-08,7.7993
2005-02-09,7.7993
2005-02-10,7.7993
2005-02-11,7.7994
2005-02-14,7.799
2005-02-15,7.7991
2005-02-16,7.7994
2005-02-17,7.7996
2005-02-18,7.7994
2005-02-21,
2005-02-22,7.7995
2005-02-23,7.7996
2005-02-24,7.7996
2005-02-25,7.7996
2005-02-28,7.7992
2005-03-01,7.7994
2005-03-02,7.7996
2005-03-03,7.7996
2005-03-04,7.7996
2005-03-07,7.7996
2005-03-08,7.7996
2005-03-09,7.7996
2005-03-10,7.7989
2005-03-11,7.7992
2005-03-14,7.7996
2005-03-15,7.7995
2005-03-16,7.7994
2005-03-17,7.7998
2005-03-18,7.7987
2005-03-21,7.7989
2005-03-22,7.7996
2005-03-23,7.7993
2005-03-24,7.7996
2005-03-25,7.7994
2005-03-28,7.7995
2005-03-29,7.7996
2005-03-30,7.7993
2005-03-31,7.799
2005-04-01,7.7989
2005-04-04,7.7991
2005-04-05,7.7995
2005-04-06,7.7993
2005-04-07,7.799
2005-04-08,7.7989
2005-04-11,7.799
2005-04-12,7.7991
2005-04-13,7.7989
2005-04-14,7.7987
2005-04-15,7.7984
2005-04-18,7.799
2005-04-19,7.799
2005-04-20,7.7994
2005-04-21,7.7992
2005-04-22,7.7956
2005-04-25,7.7959
2005-04-26,7.7981
2005-04-27,7.7988
2005-04-28,7.7989
2005-04-29,7.7946
2005-05-02,7.7963
2005-05-03,7.7952
2005-05-04,7.7937
2005-05-05,7.7915
2005-05-06,7.7929
2005-05-09,7.797
2005-05-10,7.7984
2005-05-11,7.798
2005-05-12,7.7977
2005-05-13,7.7984
2005-05-16,7.7992
2005-05-17,7.7995
2005-05-18,7.794
2005-05-19,7.7928
2005-05-20,7.7905
2005-05-23,7.7861
2005-05-24,7.7803
2005-05-25,7.7816
2005-05-26,7.7811
2005-05-27,7.7767
2005-05-30,
2005-05-31,7.7788
2005-06-01,7.7842
2005-06-02,7.7833
2005-06-03,7.7821
2005-06-06,7.781
2005-06-07,7.7806
2005-06-08,7.7802
2005-06-09,7.7806
2005-06-10,7.7781
2005-06-13,7.7754
2005-06-14,7.7737
2005-06-15,7.7735
2005-06-16,7.7747
2005-06-17,7.7735
2005-06-20,7.7737
2005-06-21,7.7711
2005-06-22,7.7692
2005-06-23,7.7703
2005-06-24,7.7719
2005-06-27,7.7712
2005-06-28,7.7711
2005-06-29,7.7705
2005-06-30,7.7719
2005-07-01,7.7718
2005-07-04,
2005-07-05,7.7718
2005-07-06,7.7729
2005-07-07,7.7728
2005-07-08,7.7739
2005-07-11,7.7776
2005-07-12,7.7787
2005-07-13,7.7792
2005-07-14,7.7773
2005-07-15,7.7772
2005-07-18,7.776
2005-07-19,7.777
2005-07-20,7.7777
2005-07-21,7.7685
2005-07-22,7.7733
2005-07-25,7.7732
2005-07-26,7.7764
2005-07-27,7.7773
2005-07-28,7.7743
2005-07-29,7.7744
2005-08-01,7.7722
2005-08-02,7.7722
2005-08-03,7.7712
2005-08-04,7.7729
2005-08-05,7.7711
2005-08-08,7.7709
2005-08-09,7.7713
2005-08-10,7.7693
2005-08-11,7.7687
2005-08-12,7.7691
2005-08-15,7.7684
2005-08-16,7.7714
2005-08-17,7.7713
2005-08-18,7.7692
2005-08-19,7.7711
2005-08-22,7.771
2005-08-23,7.7734
2005-08-24,7.7733
2005-08-25,7.7709
2005-08-26,7.7688
2005-08-29,7.7691
2005-08-30,7.771
2005-08-31,7.7718
2005-09-01,7.7693
2005-09-02,7.767
2005-09-05,
2005-09-06,7.7673
2005-09-07,7.7671
2005-09-08,7.7659
2005-09-09,7.7645
2005-09-12,7.7615
2005-09-13,7.7609
2005-09-14,7.7596
2005-09-15,7.7591
